manufacturer,ProductCategory,Model,releaseYear,memSize,memBusWidth,gpuClock,memClock,unifiedShader,memType,Price,image-editing,vfx,3D-modeling & Rendering,AI/ML,Mining,gaming,Physics Simulations,Virtual Reality (VR) and Augmented Reality (AR),Video Encoding and Transcoding,Data Analytics and Big Data Processing
AMD,Radeon RX,6600,2021,8.0,128,1650,1793,1792,GDDR6,38906.0,0,1,0,0,0,1,0,0,0,0
AMD,Radeon RX,6600,2022,4.0,128,1724,1793,1792,GDDR6,37560.0,0,1,0,0,0,1,0,0,0,0
AMD,Radeon RX,6650,2022,8.0,128,2079,2233,2048,GDDR6,50301.0,0,1,0,0,0,1,0,0,0,0
AMD,Radeon RX,6700,2021,12.0,192,2345,2043,2560,GDDR6,61049.0,0,0,1,0,1,1,1,0,0,0
AMD,Radeon RX,6700,2021,6.0,192,2224,2043,2304,GDDR6,59223.0,0,0,1,0,1,1,1,0,0,0
AMD,Radeon RX,6700,2022,8.0,128,1724,1793,1792,GDDR6,63484.0,0,0,1,0,1,1,1,0,0,0
AMD,Radeon RX,6750,2022,12.0,192,2174,2293,2560,GDDR6,65877.0,0,0,1,0,1,1,1,0,0,0
AMD,Radeon RX,6800,2020,16.0,256,1724,2043,3840,GDDR6,71539.0,0,0,1,0,1,1,0,0,0,0
AMD,Radeon RX,6800,2020,16.0,256,1849,2043,4608,GDDR6,84413.0,0,0,1,0,1,1,0,0,0,0
AMD,Radeon RX,6800,2022,8.0,128,1824,2043,2048,GDDR6,87754.0,0,0,1,0,1,1,0,0,0,0
AMD,Radeon RX,6900,2020,16.0,256,1849,2043,5120,GDDR6,96834.0,0,0,1,0,1,1,0,0,0,0
AMD,Radeon RX,6950,2022,16.0,256,1949,2293,5120,GDDR6,101890.0,0,0,1,0,1,1,0,1,0,1
AMD,Radeon RX,7700,2022,8.0,128,1824,2293,4096,GDDR6,122258.0,0,0,1,0,1,1,0,0,0,1
AMD,Radeon RX,7800,2022,12.0,192,1824,2293,8192,GDDR6,155737.0,0,0,1,0,1,1,0,1,0,1
AMD,Radeon RX,7900,2022,16.0,256,1824,2293,12288,GDDR6,185439.0,0,0,1,0,1,1,0,1,0,1
NVIDIA,Other,710,2016,1.024,64,834,941,48,DDR3,4493.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GTX,750,2015,2.0,128,1111,1296,512,GDDR5,5309.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GTX,950,2015,2.0,128,1017,1044,640,DDR3,6931.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GTX,950,2015,2.0,128,1048,1696,768,GDDR5,10404.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GTX,950,2016,2.0,128,1050,1696,768,GDDR5,6118.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GTX,960,2015,2.0,128,1053,1296,640,GDDR5,9874.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,960,2015,2.0,128,1151,1796,1024,GDDR5,11799.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,980,2015,6.0,384,1024,1796,2816,GDDR5,12657.0,1,0,0,0,0,1,1,0,0,0
NVIDIA,GeForce GT,1030,2018,2.0,64,1176,1093,384,DDR4,7621.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GT,1030,2017,2.0,64,1252,1545,384,GDDR5,6716.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GT,1030,2018,2.0,128,1082,1293,384,GDDR5,5492.0,1,0,0,0,0,0,0,0,0,0
NVIDIA,GeForce GTX,1050,2016,4.0,128,1315,1795,768,GDDR5,15535.0,0,0,0,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1050,2016,2.0,128,1378,1795,640,GDDR5,14650.0,0,0,0,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1050,2018,3.0,96,1416,1795,768,GDDR5,14130.0,0,0,0,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1050,2018,4.0,128,1176,1795,768,GDDR5,16221.0,0,0,0,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2017,5.0,160,1530,2045,1280,GDDR5,17254.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2018,6.0,192,1530,2045,1280,GDDR5,17335.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2018,6.0,192,1530,1044,1280,GDDR5X,17699.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2016,6.0,192,1530,2045,1280,GDDR5,17508.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2016,3.0,192,1530,2045,1152,GDDR5,17634.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2016,3.0,192,1530,2045,1152,GDDR5,16590.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2017,6.0,192,1530,2300,1280,GDDR5,17017.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1060,2018,6.0,192,1530,2045,1280,GDDR5,17953.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1070,2017,8.0,256,1631,2045,2432,GDDR5,35280.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1070,2016,8.0,256,1530,2045,1920,GDDR5,32770.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1070,2018,8.0,256,1530,1044,1920,GDDR5X,36088.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1080,2017,8.0,256,1631,1419,2560,GDDR5X,67600.0,0,1,1,0,1,1,0,0,0,0
NVIDIA,GeForce GTX,1080,2017,11.0,352,1505,1419,3584,GDDR5X,74085.0,0,1,1,0,1,1,0,0,0,0
NVIDIA,GeForce GTX,1080,2016,8.0,256,1631,1294,2560,GDDR5X,80737.0,0,1,1,0,1,1,0,0,0,0
NVIDIA,GeForce GTX,1650,2020,4.0,128,1059,1293,1024,GDDR6,14147.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1650,2020,4.0,128,1434,1543,896,GDDR6,14967.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1650,2019,4.0,128,1509,2044,896,GDDR5,14965.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1650,2019,4.0,128,1554,1543,1280,GDDR6,13992.0,0,0,1,0,0,1,0,0,0,0
NVIDIA,GeForce GTX,1650,2020,4.0,128,1434,1543,896,GDDR6,14597.0,0,0,1,0,0,1,0,0,0,0
